group_id;material_id;item_qty;item_dim_1;item_dim_2;item_dim_3;item_class
25;12457;0.003528;84;42;;
25;12459;0.030625;175;175;;
26;12457;0.013448;164;82;;
26;12460;0.0784;280;280;;
28;12457;0.01445;170;85;;
28;12460;0.1156;340;340;;
29;12457;0.0242;220;110;;
29;12461;0.1936;440;440;;
30;12457;0.021218;206;103;;
30;12461;0.2304;480;480;;
31;12457;0.015488;176;88;;
31;12461;0.25;500;500;;
33;12502;1;;;;(SOB)
32;12501;1;;;;
34;12504;1;;;;(SOB)
35;12505;1;;;;(SOB)
36;12507;1;;;;(SOB)
37;12508;1;;;;(SOB)
38;12511;1;;;;
39;12512;1;;;;(SOB)
40;12513;1;;;;(SOB)
41;12514;1;;;;(SOB)
42;12457;0.003528;84;42;;
42;12459;0.030625;175;175;;
43;12457;0.013448;164;82;;
43;12460;0.0784;280;280;;
44;12457;0.01445;170;85;;
44;12460;0.1156;340;340;;
45;12457;0.0242;220;110;;
45;12461;0.1936;440;440;;
46;12457;0.021218;206;103;;
46;12461;0.2304;480;480;;
47;12457;0.015488;176;88;;
47;12461;0.25;500;500;;
48;12457;0.027225;165;165;;
49;12457;0.04;200;200;;
50;12458;0.0529;230;230;;
51;12458;0.0841;290;290;;
52;12459;0.1225;350;350;;
53;12460;0.1444;380;380;;
54;12460;0.1681;410;410;;
55;12457;0.027225;165;165;;
56;12457;0.04;200;200;;
57;12458;0.0529;230;230;;
58;12458;0.0841;290;290;;
59;12459;0.1225;350;350;;
60;12460;0.1444;380;380;;
61;12460;0.1681;410;410;;
62;12458;0.014;140;100;;
63;12458;0.0231;165;140;;
64;12458;0.0361;190;190;;
65;12458;0.014;140;100;;
66;12458;0.0231;165;140;;
67;12458;0.0304;190;160;;
68;12458;0.0324;180;180;;
69;12458;0.0324;180;180;;
70;12458;0.0252;180;140;;
71;12458;0.02625;175;150;;
72;12458;0.036;225;160;;
73;12458;0.04675;275;170;;
74;12458;0.0585;325;180;;
75;12458;0.0252;180;140;;
76;12458;0.02625;175;150;;
77;12458;0.036;225;160;;
78;12458;0.04675;275;170;;
79;12458;0.0585;325;180;;
80;12458;0.0225;225;100;;
81;12458;0.03025;275;110;;
82;12458;0.039;325;120;;
83;12458;0.05625;375;150;;
84;12458;0.074375;425;175;;
91;12458;0.074375;425;175;;
90;12458;0.05625;375;150;;
89;12458;0.039;325;120;;
88;12458;0.03025;275;110;;
87;12458;0.0225;225;100;;
92;12458;0.0441;210;210;;
93;12458;0.066;300;220;;
94;12458;0.0805;350;230;;
95;12458;0.1134;420;270;;
96;12458;0.0441;210;210;;
97;12458;0.066;300;220;;
98;12458;0.0805;350;230;;
99;12458;0.1134;420;270;;
100;12458;0.09;300;300;;
101;12459;0.0999;370;270;;
102;12460;0.1176;420;280;;
103;12458;0.069;300;230;;
104;12459;0.0999;370;270;;
105;12460;0.1176;420;280;;
106;12458;0.069;300;230;;
107;12459;0.0999;370;270;;
108;12460;0.1176;420;280;;
109;12458;0.069;300;230;;
110;12459;0.0999;370;270;;
111;12460;0.1176;420;280;;
112;12460;0.1596;420;380;;
113;12460;0.1596;420;380;;
126;21451;2;;;;A
124;21451;1;;;;
124;11642;2;;;;
128;11642;2.3;;;;
124;12458;1.7;100;200;300;A
128;14186;0.9;10;20;30;
127;6673;3;;;;A
127;8211;11;;;;
130;12365;0.17;;;;
130;13936;2;;;;
130;13986;2;;;;
131;14110;0.2;;;;
132;13700;0.1;;;;A
133;13807;0.01;50;200;;A
134;13700;0.796;;;;I0-030-1
151;12455;0.0256;160;160;;I0-031-4
200;12456;0.0112;80;140;;I0-002-5
225;12362;1.31;;;;I0-003-10
152;13681;2.094;;;;I0-032-2
135;13700;0.796;;;;I0-031-1
164;13681;2.1;;;;I1-031-3
203;14115;1.116;;;;I0-002-8
223;12366;0.71;;;;I0-003-8
224;12362;0.51;;;;I0-003-9
162;12455;0.0256;160;160;;I1-002-4
136;13681;1.38;;;;I0-032-1
168;12455;0.0256;160;160;;I1-033-4
155;13681;2.1;;;;I0-033-3
137;13700;0.796;;;;I0-033-1
222;12366;1.31;;;;I0-003-7
207;12366;0.654;;;;I0-002-12
160;13681;2.1;;;;I1-002-2
159;12455;0.0256;160;160;;I1-001-4
138;13700;0.796;;;;I1-001-1
170;13681;0.992;;;;I2-001-3
163;13681;1.374;;;;I1-031-2
221;12366;0.51;;;;I0-003-6
169;13681;1.38;;;;I2-001-2
139;13700;0.796;;;;I1-002-1
165;12455;0.0256;160;160;;I1-031-4
175;13681;2.1;;;;I2-002-2
220;13680;1.29;;;;I0-003-5
202;14115;1.116;;;;I0-002-7
140;13700;0.796;;;;I1-031-1
174;12455;0.0256;160;160;;I2-002-4
199;12456;0.0128;80;160;;I0-002-4
219;13680;1.29;;;;I0-003-4
173;13681;1.38;;;;I2-002-3
141;13700;0.796;;;;I1-033-1
177;13681;2.1;;;;I2-031-3
178;12455;0.0256;160;160;;I2-031-4
218;13680;0.71;;;;I0-003-3
206;12362;0.654;;;;I0-002-11
142;13700;0.796;;;;I2-001-1
201;13686;1.003;;;;I0-002-6
197;13686;0.805;;;;I0-002-2
217;13680;1.345;;;;I0-003-2
176;13681;1.38;;;;I2-031-2
143;13700;0.796;;;;I2-002-1
179;13681;1.38;;;;I2-033-2
204;14115;1.118;;;;I0-002-9
216;13680;0.51;;;;I0-003-1
205;14115;1.118;;;;I0-002-10
144;13700;0.796;;;;I2-031-1
198;13686;1.054;;;;I0-002-3
181;12455;0.0256;160;160;;I2-033-4
214;13688;4.892;;;;I0-010-4
196;47688;0.84;795;1055;;I0-002-1
145;13700;0.796;;;;I2-033-1
211;47689;0.23;80;289;;I0-010-1
208;14115;0.591;;;;I0-002-13
213;13688;4.987;;;;I0-010-3
212;47689;0.2;80;256;;I0-010-2
153;12455;0.0256;160;160;;I0-032-3
146;13681;2.1;;;;I0-030-2
161;13681;1.374;;;;I1-002-3
180;13681;2.1;;;;I2-033-3
171;12455;0.0256;160;160;;I2-001-4
154;13681;1.374;;;;I0-033-2
167;13681;2.1;;;;I1-033-3
147;13681;1.374;;;;I0-030-3
166;13681;1.374;;;;I1-033-2
150;13681;2.1;;;;I0-031-3
158;13681;0.992;;;;I1-001-3
157;13681;1.374;;;;I1-001-2
149;13681;1.374;;;;I0-031-2
148;12455;0.0256;160;160;;I0-030-4
156;12455;0.0256;160;160;;I0-033-4
226;12362;0.71;;;;I0-003-11
227;47689;0.82;677;1209;;I0-003-12
228;47689;0.99;789;1250;;I0-003-13
229;13688;1.191;;;;I0-003-14
230;13688;1.521;;;;I0-003-15
231;13688;1.25;;;;I0-003-16
232;13684;2.067;;;;I0-003-17
233;12456;0.026;100;260;;I0-003-18
234;12456;0.016;80;200;;I0-003-19
236;12455;0.019;125;152;;I0-024-1
237;13680;1.182;;;;I0-024-2
239;13680;0.874;;;;I0-005-1
240;13680;0.341;;;;I0-005-2
242;13688;1.45;;;;I0-009-1
243;13688;1.347;;;;I0-009-2
244;13688;1.55;;;;I0-009-3
245;13684;1.862;;;;I0-009-4
246;14115;1.444;;;;I0-009-5
247;12455;0.0262;100;260;;I0-009-6
248;12456;0.016;80;200;;I0-009-7
249;13688;1.448;;;;I0-008-1
250;13688;1.347;;;;I0-008-2
251;13688;1.55;;;;I0-008-3
252;13684;1.862;;;;I0-008-4
253;14115;1.444;;;;I0-008-5
254;12455;0.0262;100;262;;I0-008-6
255;12456;0.016;80;200;;I0-008-7
257;47689;1.74;1536;1135;;I0-007-1
258;13688;1.058;;;;I0-007-2
259;13688;1.136;;;;I0-007-3
260;13688;1.508;;;;I0-007-4
262;12455;0.019;125;153;;I0-027-1
263;13680;1.35;;;;I0-027-2
267;12455;0.019;125;153;;I0-062-1
266;13680;1.182;;;;I0-062-2
269;13680;0.874;;;;I1-071-1
270;13680;0.341;;;;I1-071-2
272;13680;0.51;;;;I1-004-1
273;13680;1.345;;;;I1-004-2
274;13680;0.71;;;;I1-004-3
275;13680;1.29;;;;I1-004-4
276;13680;1.29;;;;I1-004-5
277;12366;0.51;;;;I1-004-6
278;12366;1.31;;;;I1-004-7
279;12366;0.71;;;;I1-004-8
280;12362;0.51;;;;I1-004-9
281;12362;1.31;;;;I1-004-10
282;12362;0.71;;;;I1-004-11
283;47689;0.82;677;1209;;I1-004-12
284;47689;0.99;789;1250;;I1-004-13
285;13688;1.191;;;;I1-004-14
286;13688;1.521;;;;I1-004-15
287;13688;1.521;;;;I1-004-16
288;13684;2.067;;;;I1-004-17
289;12456;0.026;100;260;;I1-004-18
290;12456;0.016;80;200;;I1-004-19
292;47688;0.84;795;1055;;I1-003-1
293;13684;0.805;;;;I1-003-2
294;13684;1.054;;;;I1-003-3
295;12456;0.0128;80;160;;I1-003-4
296;12456;0.0112;80;140;;I1-003-5
297;13686;1.003;;;;I1-003-6
298;14115;1.116;;;;I1-003-7
299;14115;1.116;;;;I1-003-8
300;14115;1.188;;;;I1-003-9
301;14115;1.188;;;;I1-003-10
302;12362;0.654;;;;I1-003-11
303;12366;0.654;;;;I1-003-12
304;14115;0.591;;;;I1-003-13
1282;12378;0.555;;;;
51979;55361;5.904;;;;
308;47689;1.74;1536;1136;;I1-078-1
309;13688;1.058;;;;I1-078-2
310;13688;1.136;;;;I1-078-3
311;13688;1.508;;;;I1-078-4
312;12455;0.019;125;153;;I1-101-1
313;13680;1.182;;;;I1-101-2
316;12455;0.019;125;153;;I1-100-1
317;13680;1.182;;;;I1-100-2
320;13680;1.35;;;;I1-097-2
319;12455;0.019;125;153;;I1-097-1
322;13688;1.45;;;;I1-081-1
323;13688;1.347;;;;I1-081-2
324;13688;1.55;;;;I1-081-3
325;13684;1.862;;;;I1-081-4
326;14115;1.444;;;;I1-081-5
327;12455;0.0262;262;100;;I1-081-6
328;12456;0.016;80;200;;I1-081-7
330;13688;1.448;;;;I1-079-1
331;13688;1.347;;;;I1-079-2
332;13688;1.55;;;;I1-079-3
333;13684;1.862;;;;I1-079-4
334;14115;1.444;;;;I1-079-5
335;12455;0.0262;100;262;;I1-079-6
336;12456;0.016;80;200;;I1-079-7
338;47689;0.23;800;289;;I1-080-1
339;47689;0.2;800;256;;I1-080-2
340;13688;4.987;;;;I1-080-3
341;13688;4.892;;;;I1-080-4
51983;55361;1.03;;;;
51974;55361;5.577;;;;
1462;14019;1;;;;(SOB)
1282;13746;2;;;;(SOB)
356;13688;1.508;;;;I2-071-4
355;13688;1.136;;;;I2-071-3
354;13688;1.058;;;;I2-071-2
353;47689;1.74;1536;1136;;I2-071-1
365;12456;0.016;80;200;;I2-072-7
364;12455;0.0262;100;262;;I2-072-6
363;14115;1.444;;;;I2-072-5
362;13684;1.862;;;;I2-072-4
